Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Complutense de Madrid;Ciencias de la Salud;Enfermería;11,603
Universidad Complutense de Madrid;Ciencias de la Salud;Farmacia;11,641
Universidad Complutense de Madrid;Ciencias de la Salud;Fisioterapia;11,463
Universidad Complutense de Madrid;Ciencias de la Salud;Logopedia;9,200
Universidad Complutense de Madrid;Ciencias de la Salud;Medicina;13,100
Universidad Complutense de Madrid;Ciencias de la Salud;Nutrición Humana y Dietética;10,100
Universidad Complutense de Madrid;Ciencias de la Salud;Odontología;12,652
Universidad Complutense de Madrid;Ciencias de la Salud;Podología;9,453
Universidad Complutense de Madrid;Ciencias de la Salud;Psicología;10,525
Universidad Complutense de Madrid;Ciencias de la Salud;Terapia Ocupacional;9,089
Universidad Complutense de Madrid;Ciencias de la Salud;Veterinaria;11,814
Universidad Complutense de Madrid;Ciencias de la Salud;Óptica y Optometría;7,863
Universidad Complutense de Madrid;Dobles Grados;ADE - Ingeniería Informática;11,316
Universidad Complutense de Madrid;Dobles Grados;Ciencias Políticas - Filosofía;5,089
Universidad Complutense de Madrid;Dobles Grados;Derecho - ADE;10,177
Universidad Complutense de Madrid;Dobles Grados;Derecho - Ciencias Políticas;10,150
Universidad Complutense de Madrid;Dobles Grados;Derecho - Estudios Jurídico Militares;8,875
Universidad Complutense de Madrid;Dobles Grados;Derecho - Filosofía;8,428
Universidad Complutense de Madrid;Dobles Grados;Derecho - Relaciones Laborales y Recursos Humanos;8,114
Universidad Complutense de Madrid;Dobles Grados;Economía - Matemáticas y Ciencia de Datos;12,716
Universidad Complutense de Madrid;Dobles Grados;Economía - Relaciones Internacionales;12,315
